City_ID,City,Country,Max Temp,current Description,Lat,Lng,Hotel Name
10,Mackenzie,CA,17.82,light snow,55.2999,-123.1698,Hilton Shop
15,Qaanaaq,GL,14.09,overcast clouds,77.484,-69.3632,Qaanaaq Hotel
72,Maniitsoq,GL,17.2,broken clouds,65.4167,-52.9,Hotel Heilmann Lyberth
165,Ilulissat,GL,17.62,broken clouds,69.2167,-51.1,Hotel Arctic
166,Fairbanks,US,15.03,overcast clouds,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
191,Saint Anthony,US,15.31,light snow,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
385,Przhevalskoye,RU,15.44,overcast clouds,55.5093,31.8482,Next Camp
430,Smithers,CA,17.92,light snow,54.7804,-127.1743,"Prestige Hudson Bay Lodge, Premier Collection"
494,Huanren,CN,14.92,scattered clouds,41.2647,125.3667,Dynasty Wunvshan Ice Chateau
559,Zhigalovo,RU,14.2,overcast clouds,54.8097,105.1578,"Hotel ""Lenatur"""
590,Nuristan,AF,16.68,clear sky,35.3,70.8333,لَکچُک هوټل
612,Ventspils,LV,17.53,light snow,57.3894,21.5606,Jūras brīze
